sample	029_4870a	046_4949a	054_4976a	065_5037a	083_5091a	088_5114a	113_5241a	115_5235a	160_5453a	178_5685a	180_5521a	186_5559a	188_5571a	197_5625a	199_5632a	203_5662a	207_5670a	220_5717a	222_5735a	225_5747a	227_5749a	228_5756a	289_5851a	293_5828a	LA_RV_352_5899a_S19	LA_RV_372_5944a_S39	LA_RV_382_5978a_S49	LA_RV_389_6006a_S56	LA_RV_395_6024a_S62
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0.0	0.0	0.0	0.0	0.0	26.8659	0.0	0.0	0.0	0.0	0.0	34.906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.36	0.0	0.0	0.0	47.6926	21.5469	0.0	0.0	0.0	0.0
LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.234	29.7816	124.585	385.808	0.0	0.0	0.0	0.0	0.0	51.6361	0.0	0.0	0.0	0.0	0.0	0.0	94.2585	30.4868	0.0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	2238.11	1918.88	2641.45	3200.08	2590.97	3285.49	3302.29	2397.46	2217.22	2710.85	4887.91	2589.48	3289.96	1533.65	2193.6	2116.41	3230.18	3293.06	4654.0	4385.93	2062.59	4667.93	2605.94	2109.61	1587.96	4380.58	2876.89	4026.6	2204.24
METH-ACETATE-PWY: methanogenesis from acetate	70.3835	140.844	235.051	175.071	117.75	424.936	67.8798	236.31	574.343	748.579	369.979	989.101	603.744	678.027	82.3294	88.3224	506.004	311.142	38.0913	499.651	383.122	255.731	200.791	367.563	162.798	200.341	477.757	262.986	429.139
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371.196	9.91897	99.5029	592.804	0.0	0.0	0.0	0.0	0.0	33.3046	0.0	0.0	0.0	0.0	0.0	0.0	57.4023	16.4433	0.0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	193.592	289.443	314.152	50.8306	226.225	290.64	401.924	707.439	33.7194	346.343	539.479	444.287	288.404	304.95	181.778	131.923	316.108	274.03	958.067	556.339	179.048	345.886	266.249	459.945	475.658	69.5707	258.604	182.784	422.39
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.5712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	2138.04	1767.97	2481.07	3363.29	2455.85	3115.2	3107.04	2252.8	2109.87	2575.98	4601.34	2407.09	3156.58	1431.65	2094.46	2090.5	2972.8	3206.6	4818.98	4327.48	1991.71	4311.82	2669.38	2044.98	1532.59	4234.27	2863.5	3969.07	2133.26
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0.0	48.284	267.589	15.8256	35.8849	197.129	10.5596	144.094	0.0	19.6156	827.954	229.194	183.245	158.873	31.3793	41.7477	65.3162	163.662	1396.76	585.641	233.366	11.978	16.5601	78.2863	83.3088	30.5704	115.64	54.9717	37.6112
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	565.489	1200.71	755.651	3528.77	2069.82	1271.57	1499.78	1450.0	2532.37	1256.44	1333.24	1494.04	2067.62	1035.21	1204.47	2439.85	1123.02	1317.57	3140.47	2230.74	2709.89	1439.34	855.858	1434.96	1749.73	1787.08	1072.71	2386.26	777.719
NONMEVIPP-PWY: methylerythritol phosphate pathway I	11798.2	9852.94	10253.2	9853.95	9606.63	8585.2	9061.16	8575.51	9554.34	9627.72	6158.75	9158.02	8840.58	9270.98	9998.3	10264.5	8735.75	10147.7	4831.08	5363.78	10183.4	8257.82	10175.7	8943.81	9714.95	10140.2	10211.3	9792.51	10588.7
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	8831.93	10167.6	7699.72	8009.81	9004.93	8155.22	9545.73	8922.68	9689.06	8746.14	7953.61	8664.44	8640.02	8689.13	9833.23	8903.83	7988.51	9815.93	7871.46	7700.54	8025.45	8214.68	9299.74	9036.14	12001.8	8902.59	7677.44	8957.86	9900.56
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	5175.33	5112.92	6107.94	4124.76	5517.96	5371.33	6276.79	6537.34	3729.69	5953.33	5027.41	6510.44	6351.92	6736.4	3803.6	4680.47	7217.85	6892.12	3735.26	4150.89	5119.43	6139.15	5857.71	6663.9	4942.34	5790.86	6684.39	6698.42	5616.12
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0.0	0.0	0.0	0.0	0.0	19.4405	0.0	0.0	0.0	7.80906	623.442	23.0104	0.0	0.0	0.0	0.0	0.0	0.0	1041.3	813.563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.1531	0.0
ORNDEG-PWY: superpathway of ornithine degradation	977.418	290.289	627.157	470.111	314.797	382.888	453.553	544.233	60.7348	326.719	1940.83	769.881	580.421	612.601	278.857	0.0	585.794	450.207	3408.84	2173.36	495.764	547.005	606.647	298.955	535.288	298.963	669.629	480.261	441.673
P101-PWY: ectoine biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6571	0.0	0.0	0.0	0.0	0.0	0.0	12.4896	0.0	0.0	0.0	0.0	8.21689	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	46.6838	33.3695	86.9694	66.1706	48.547	335.938	34.6899	29.408	0.0	59.0965	1295.54	205.768	132.95	86.0325	143.094	0.0	66.1048	0.0	2720.35	2275.1	202.222	36.6894	73.0317	170.205	96.7839	21.6408	114.547	182.88	49.3615
P108-PWY: pyruvate fermentation to propanoate I	442.033	766.504	867.691	841.271	1049.11	1201.73	705.184	1070.24	452.8	1128.33	1240.99	1365.43	787.022	707.938	628.055	569.994	1079.29	365.768	912.233	1030.34	632.338	774.189	754.586	706.032	696.121	426.22	721.69	783.424	1014.51
P122-PWY: heterolactic fermentation	816.39	1624.87	1616.6	3018.45	1416.64	1595.17	2553.65	1212.49	2187.47	1586.18	1774.61	983.047	2073.32	523.86	1234.62	897.364	1513.61	1746.85	2033.08	1281.86	1223.51	2957.85	1773.84	2255.09	995.79	3361.06	1442.71	2528.6	1422.92
P124-PWY: Bifidobacterium shunt	1138.61	1026.1	2540.26	3739.23	1799.01	2318.87	2477.8	1472.12	790.984	2140.57	2614.4	1325.68	2138.38	616.866	1039.71	557.224	2249.4	1844.88	152.245	813.76	1544.78	3716.18	1574.56	1992.97	685.98	4615.01	2504.34	4847.91	1856.09
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0.0	27.281	168.437	18.4198	20.1366	145.031	114.293	823.557	51.5832	49.8196	112.983	74.9746	64.0012	57.5742	54.7227	38.9685	73.1414	0.0	7.83274	70.2025	353.025	87.9344	41.6974	34.5965	28.5782	4.27355	141.22	43.9707	51.3947
P161-PWY: acetylene degradation (anaerobic)	2204.93	5024.52	3514.28	1914.86	3773.24	2526.92	2910.98	4327.11	3244.54	3714.07	3945.03	4303.22	2962.44	5749.94	4162.0	3025.4	4094.48	2811.02	4976.01	3252.95	2381.51	2929.39	2653.9	4635.4	3414.31	2190.26	4867.23	3604.65	3784.74
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	108.306	117.079	132.275	37.6679	338.878	171.194	123.467	158.293	0.0	207.751	200.897	287.801	360.052	120.379	78.4282	0.0	228.674	116.919	105.684	166.706	141.372	257.582	0.0	435.304	117.125	42.1054	85.942	171.415	210.457
P163-PWY: L-lysine fermentation to acetate and butanoate	46.1482	67.0366	347.903	101.419	278.126	275.184	242.356	1198.24	238.339	837.786	467.163	902.883	1865.35	940.854	654.276	57.8479	810.029	665.004	44.5132	738.549	116.949	141.015	1227.1	363.56	263.021	44.8227	234.064	971.255	250.21
P164-PWY: purine nucleobases degradation I (anaerobic)	1190.72	2845.49	1134.29	1099.49	2555.84	2277.88	1431.09	2393.48	2076.94	1500.57	1597.57	1468.51	2093.06	1579.28	1649.72	1858.54	1290.11	1668.74	1553.72	1378.02	1457.54	1747.12	1864.61	1148.03	1626.85	1304.08	1043.06	1383.4	1149.2
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	1120.56	4343.89	1250.6	663.194	1213.44	1471.59	1030.37	2646.2	2480.13	1818.72	2476.97	1337.58	1501.53	1427.14	1017.66	2399.46	1004.98	1391.14	203.685	2023.63	1020.78	1266.21	1196.78	1047.24	937.448	595.208	964.984	1523.17	899.28
P221-PWY: octane oxidation	1535.46	1915.46	1128.63	145.404	1306.14	1032.65	949.268	1990.0	1025.77	1792.05	778.318	1804.07	924.677	905.247	1063.54	1625.0	1962.3	1956.65	265.554	982.707	1631.46	527.446	1439.54	707.981	1114.89	713.205	2271.54	1148.36	935.872
P23-PWY: reductive TCA cycle I	328.527	530.949	613.432	304.613	888.143	861.039	498.729	745.128	141.043	685.928	1193.68	1045.14	616.35	447.606	378.436	372.941	823.233	235.314	1114.47	1376.24	440.347	575.475	545.583	500.03	470.667	276.041	469.99	392.851	625.486
P241-PWY: coenzyme B biosynthesis	0.0	16.401	18.253	0.0	0.0	33.4144	0.0	20.1112	0.0	32.5548	171.744	25.5026	70.8421	188.109	0.0	0.0	17.9052	0.0	2.18943	28.0679	8.04063	9.34043	15.4487	9.95558	8.06448	0.0	37.8149	12.7718	13.3248
P261-PWY: coenzyme M biosynthesis I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.195	13.7024	114.73	449.477	0.0	0.0	0.0	0.0	0.0	51.3463	0.0	0.0	0.0	0.0	0.0	0.0	65.1618	16.002	0.0
P3-PWY: gallate degradation III (anaerobic)	0.0	0.0	56.936	0.0	0.0	147.926	0.0	128.917	0.0	105.191	123.136	47.9431	249.548	69.5417	18.3475	0.0	0.0	0.0	29.2673	36.7868	38.9577	46.5043	0.0	14.1781	0.0	0.0	40.2169	154.291	120.787
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	1279.99	1149.74	2325.01	3178.47	2339.55	3315.68	2579.41	1772.88	467.6	2672.14	3638.6	2647.03	2916.52	1573.44	1963.08	962.675	2156.64	2712.83	3034.24	2809.76	1816.12	2920.45	2480.49	2021.23	1145.66	2369.62	2484.94	2995.28	2434.64
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	7342.97	6964.99	5968.91	4064.55	5566.47	4384.95	5288.09	6619.23	8426.79	5110.58	3712.82	4712.32	4518.16	6238.49	5310.21	6710.59	5070.14	5001.77	1400.67	3653.72	5742.9	5551.87	6258.13	5560.17	5554.24	5382.52	5615.43	6130.35	4054.41
P42-PWY: incomplete reductive TCA cycle	782.29	759.19	1202.85	380.919	1129.65	1633.73	1322.82	1165.02	365.631	1448.24	2099.15	1600.13	2157.14	2268.82	971.587	658.579	1837.58	1272.14	1053.37	1312.89	1048.18	1038.04	1472.99	2026.22	1041.98	524.956	1356.29	1455.81	1144.38
P441-PWY: superpathway of N-acetylneuraminate degradation	2360.26	2247.86	2397.59	902.699	2981.56	2157.63	2516.01	2495.43	3032.82	1784.41	3262.26	2505.32	1974.19	2924.14	2038.22	2243.6	2932.14	2292.73	4577.51	3747.01	3625.32	2095.74	3580.05	2799.52	2108.67	1838.75	2752.31	983.434	2141.27
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	811.4	3045.4	885.791	134.539	1281.36	1237.79	1002.19	1840.67	2261.44	1054.57	2965.28	925.074	712.144	1124.2	832.804	2439.26	1519.68	818.146	3087.8	2924.75	1568.1	1644.37	1528.91	1220.04	809.405	475.293	591.076	1251.36	614.855
P562-PWY: myo-inositol degradation I	0.0	0.0	63.0177	0.0	0.0	89.4338	0.0	15.8163	0.0	0.0	26.3984	0.0	0.0	16.447	0.0	0.0	0.0	0.0	0.0	316.124	0.0	39.3991	0.0	19.0604	0.0	2.57014	16.3071	0.0	7.62641
P621-PWY: nylon-6 oligomer degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.4143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0837	0.0	71.0753	0.0	0.0	0.0	10.9857	0.0	4.30402	36.4817
PANTO-PWY: phosphopantothenate biosynthesis I	8041.28	8019.52	5985.3	6947.39	6700.37	6223.01	6054.21	6415.92	7423.86	5474.97	4010.39	5875.12	5761.26	4679.83	7819.03	5484.35	5558.15	6276.47	3929.93	4780.11	6050.04	5362.14	6690.81	6161.13	7110.45	6785.74	4861.12	5616.43	6222.29
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	9161.13	7920.24	6902.58	7067.76	6966.94	6523.14	6544.83	6686.33	8001.69	5953.22	4273.16	6372.24	5946.09	4931.24	7895.49	6715.4	6203.75	6564.17	3738.43	4287.95	6786.47	5691.07	7534.81	6803.7	7761.97	7348.04	5730.51	6264.65	6615.92
PENTOSE-P-PWY: pentose phosphate pathway	2301.47	3200.71	2525.88	6496.13	5031.6	3878.83	4668.32	2789.92	4964.18	3819.01	3817.04	2883.27	4678.52	2188.84	4271.7	1572.26	2569.12	4246.82	4784.38	3745.36	2766.58	5313.05	3779.17	4915.3	3798.51	6719.16	2117.42	5649.21	3542.02
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	12647.1	10234.4	10039.6	9489.18	8989.99	8269.47	9024.52	9327.76	9566.3	9596.53	7113.36	9073.55	9390.99	10014.5	9926.32	11461.8	9508.44	9535.87	4588.33	5837.4	9932.6	8332.26	10285.1	9980.78	9273.4	9085.8	10034.6	9235.63	9796.38
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	2409.69	3149.89	3922.71	1538.0	2890.21	2008.37	2836.19	3209.52	4481.53	2419.56	4786.27	1663.75	1536.8	1751.42	2781.55	5346.02	2206.01	2543.36	5953.21	4459.29	6195.68	2807.77	3389.94	2735.16	1196.41	2218.38	3250.07	3079.52	2890.44
PHOTOALL-PWY: oxygenic photosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	325.666	146.864	806.9	53.6813	678.434	494.975	533.013	428.216	1430.85	355.85	291.049	443.192	262.178	318.271	344.813	296.101	867.918	459.163	153.218	594.761	412.663	668.732	798.142	1137.54	807.907	212.913	430.038	277.487	585.445
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	311.976	271.219	807.213	135.78	671.774	492.364	509.12	423.24	1253.6	346.872	1783.39	706.903	660.449	345.229	419.084	281.994	1136.76	495.153	3185.76	2779.92	416.115	655.417	1068.5	1343.38	743.703	205.159	648.655	269.849	564.266
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	1072.61	543.006	868.169	813.533	901.787	967.062	604.404	874.319	135.141	640.189	1934.59	1080.31	745.721	240.568	701.047	2066.12	1376.85	360.378	2488.85	2023.09	1908.54	824.748	1153.24	1261.89	684.72	313.02	1250.07	497.118	658.461
PPGPPMET-PWY: ppGpp metabolism	856.321	416.937	703.154	347.43	978.782	854.49	702.043	1379.61	298.365	620.219	608.015	1061.36	634.17	393.689	175.221	2672.14	1335.61	78.5421	1451.49	1324.64	2615.98	1214.36	641.79	910.31	416.628	361.3	1146.89	283.362	435.282
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	106.581	275.67	78.9304	68.4524	74.1138	138.987	212.479	361.643	0.0	157.206	203.517	121.7	173.402	305.584	19.083	580.8	658.118	190.529	15.8181	99.6008	108.796	78.4947	490.405	24.8895	116.801	21.5702	295.068	237.536	105.965
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	27.7542	21.9605	34.3409	78.6001	0.0	47.4823	13.2792	0.0	0.0	19.2461	0.0	16.792	0.0	0.0	13.2922	0.0	15.558	0.0	4.51033	505.422	11.3989	20.1373	24.9417	43.7352	70.5865	32.1734	24.2142	0.0	20.6311
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0.0	235.253	1234.96	526.756	246.416	1254.48	301.338	2044.35	0.0	435.12	1058.89	686.81	123.507	0.0	544.52	106.117	1895.17	0.0	976.653	2316.61	1399.33	2063.54	96.8226	533.539	250.405	203.639	414.05	443.458	168.546
PWY-101: photosynthesis light reactions	0.0	0.0	6.52271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.70042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1042: glycolysis IV	13848.2	14021.1	11826.2	14659.5	12144.6	12542.3	12386.9	12825.2	13044.9	12533.5	8854.31	11345.8	12823.6	12918.9	13200.7	13705.9	11613.9	12479.8	7225.99	9150.89	12248.8	11293.5	13104.5	13270.4	11924.4	13199.9	12243.3	12206.0	12260.2
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	937.408	921.799	753.875	512.713	1226.06	1972.49	1097.2	1440.56	566.694	846.792	1733.26	1672.6	1971.41	733.273	1114.81	3478.63	1326.57	1003.47	3132.45	2905.37	2840.97	453.338	2096.85	2267.49	2407.4	700.915	1518.19	1454.88	990.929
PWY-1501: mandelate degradation I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.24391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1622: formaldehyde assimilation I (serine pathway)	29.7389	89.7437	57.7544	101.18	0.0	26.4733	47.4153	67.1966	0.0	79.8368	75.0935	129.635	90.3306	49.0267	35.4259	0.0	124.429	0.0	18.0805	81.3895	40.2679	33.4284	52.0531	69.0145	52.2075	45.4762	85.1043	66.4588	99.464
PWY-181: photorespiration	75.7166	389.571	204.01	148.562	0.0	43.2813	90.3751	115.646	325.999	181.249	120.922	237.42	166.918	154.421	103.193	247.465	222.531	369.552	28.6133	126.342	92.3502	74.1272	216.885	132.577	135.776	131.925	222.781	154.489	237.85
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	292.188	449.428	167.383	969.491	461.445	967.166	1080.5	1396.91	0.0	1494.94	1503.43	574.815	768.816	1709.73	385.505	215.786	1065.02	360.225	43.2154	1725.12	350.484	1773.53	838.015	618.285	3572.77	2315.5	1440.81	683.213	245.548
PWY-2201: folate transformations I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	778.801	77.337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330.675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0.0	0.0	0.0	51.8162	52.7799	0.0	0.0	52.2027	0.0	11.6814	48.1346	0.0	33.9571	0.0	0.0	0.0	0.0	0.0	0.0	138.996	0.0	0.0	0.0	0.0	95.3258	0.0	0.0	0.0	0.0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	452.285	584.812	1302.68	606.713	966.886	1346.52	1214.64	1085.33	274.788	1166.85	2285.01	845.136	1691.66	1114.88	779.359	422.289	1063.3	1683.42	2481.64	2232.11	1376.47	937.834	1238.41	1553.27	663.363	782.062	1579.69	1760.62	832.64
PWY-2941: L-lysine biosynthesis II	1971.96	2616.99	2237.15	1737.76	2127.02	2406.83	3298.83	3784.56	2822.93	2578.16	982.98	2344.83	2090.45	4207.94	2379.49	1351.4	3601.04	1990.01	721.91	1699.81	2559.41	3510.89	2794.36	2010.36	1792.85	2187.89	2618.77	2817.1	3148.51
PWY-2942: L-lysine biosynthesis III	9543.54	7899.39	7058.32	8000.78	7659.59	7669.11	6773.56	6864.86	8289.02	7839.09	6647.49	7059.78	7359.62	8362.8	7120.59	9417.71	7852.35	7468.48	4184.8	4990.22	7458.85	7319.18	7821.98	6689.62	6931.8	7195.98	7474.0	7690.71	7545.22
PWY-3001: superpathway of L-isoleucine biosynthesis I	3332.07	4882.16	4896.15	4273.8	4839.81	5543.92	5268.2	4920.3	4699.4	5606.56	5837.3	5641.63	5263.34	5935.13	4023.24	3346.88	5264.67	4903.26	4471.46	4882.61	4616.25	4840.33	4429.04	4638.15	4337.13	4056.28	5897.01	5680.65	5056.15
PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.3286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.1597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-3781: aerobic respiration I (cytochrome c)	0.0	0.0	13.4067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.851	0.0	0.0	0.0	71.959	0.0	0.0	0.0	0.0	0.0	0.0	2.67415	0.0	73.095
PWY-3801: sucrose degradation II (sucrose synthase)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	850.145	0.0	0.0	610.555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-3841: folate transformations II (plants)	9164.59	7975.12	9139.45	8954.29	8528.15	8170.43	9113.85	8221.56	8480.47	8446.57	5646.27	8683.2	9665.21	8714.12	8510.26	8520.2	8246.13	9822.5	4288.65	5735.31	8427.05	7531.52	8435.36	9017.03	9043.39	9102.67	8532.84	8769.08	9185.42
PWY-4041: &gamma;-glutamyl cycle	959.477	431.99	1308.41	2245.07	1119.48	1857.01	1379.39	1604.63	827.083	1398.76	2369.32	1523.15	1503.07	653.024	1200.22	790.293	1399.71	1371.79	3835.95	2982.13	1769.17	2250.0	990.451	1988.01	1412.04	2496.08	1236.1	2405.56	1308.82
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-4984: urea cycle	277.74	125.474	824.147	118.05	784.016	494.681	479.119	590.158	1475.14	347.109	248.195	376.192	711.09	381.93	405.025	261.089	806.99	406.789	120.354	556.746	509.023	1031.3	785.88	1339.35	893.625	211.126	387.344	397.407	620.35
PWY-5004: superpathway of L-citrulline metabolism	114.116	56.3568	77.7265	0.0	166.0	397.433	0.0	132.604	0.0	27.4033	338.022	164.75	214.325	68.4384	206.245	83.8124	0.0	0.0	134.947	512.585	51.9229	66.5218	26.2495	0.0	0.0	85.4159	389.74	65.6553	178.526
PWY-5005: biotin biosynthesis II	613.78	348.06	398.739	0.0	647.212	220.898	519.833	245.128	265.236	284.298	60.3779	104.109	149.523	186.513	196.269	782.563	631.309	327.967	103.287	199.462	515.555	222.063	792.554	235.59	247.65	368.785	330.728	94.164	388.653
PWY-5022: 4-aminobutanoate degradation V	540.72	394.444	1781.79	2225.6	400.574	1036.76	633.968	407.262	420.038	968.083	3239.05	1003.6	936.049	757.052	642.657	1031.54	1352.46	288.257	3861.45	2610.86	583.726	1157.65	537.253	626.803	560.325	458.851	347.789	521.542	518.778
PWY-5028: L-histidine degradation II	0.0	0.0	18.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.58728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5030: L-histidine degradation III	1243.53	2233.08	2259.47	5661.33	3393.43	2892.49	2594.32	2166.34	2609.31	1872.51	671.533	2314.87	4417.26	2043.06	2934.82	884.935	1809.42	2572.69	820.203	2194.37	1593.64	2793.85	3211.92	2749.3	2197.42	4201.11	1213.17	3709.39	2637.73
PWY-5055: nicotinate degradation III	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.739	6.62057	37.5487	7.92785	0.0	0.0	2.14046	0.0	0.0	3.3283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5088: L-glutamate degradation VIII (to propanoate)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.1241	0.0	28.3897	114.313	34.3503	0.0	43.3729	0.0	0.0	87.456	0.0	11.1707	16.7117	60.9673	0.0	0.0	40.2515	0.0	0.0	63.5422	0.0	0.0
PWY-5097: L-lysine biosynthesis VI	10357.7	8890.6	7984.78	8232.6	8536.55	7940.85	8141.03	7506.62	8697.85	8918.46	6773.86	7886.02	7680.78	8767.51	8559.03	10200.9	8216.81	9236.04	4224.58	5134.64	8181.42	7480.12	8373.11	7132.2	8968.92	8567.0	8962.76	8038.85	8934.63
PWY-5100: pyruvate fermentation to acetate and lactate II	7342.97	6964.99	5968.91	4064.55	5566.47	4384.95	5288.09	6619.23	8426.79	5110.58	4491.18	4712.32	4518.16	6238.49	5310.21	6710.59	5070.14	5001.77	2519.82	3653.72	5742.9	5551.87	6258.13	5560.17	5554.24	5382.52	5615.43	6130.35	4054.41
PWY-5101: L-isoleucine biosynthesis II	173.227	48.6108	235.503	52.3986	278.952	429.97	260.814	266.687	0.0	630.583	178.649	165.515	1356.09	654.065	92.0417	111.188	398.441	613.331	26.2483	215.231	9.14717	93.329	0.0	909.426	814.193	26.0298	283.379	71.8965	374.747
PWY-5103: L-isoleucine biosynthesis III	6359.31	8809.73	7454.68	7560.57	7974.86	7343.14	8785.96	7277.18	7870.61	8380.58	7890.72	8193.66	6239.7	8138.55	8373.24	7165.16	7632.36	10316.9	4567.66	5582.47	7605.24	8365.99	6876.08	6874.68	9349.97	6990.2	8545.84	7270.35	9265.81
PWY-5104: L-isoleucine biosynthesis IV	0.0	30.7157	0.0	13.5074	34.1248	21.1722	0.0	0.0	164.432	6.48732	1084.93	228.847	26.3331	31.3976	62.6009	0.0	0.0	0.0	20.7597	563.404	174.938	16.27	0.0	143.116	83.2025	0.0	22.8645	96.0997	136.393
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	95.227	94.8642	295.91	263.785	132.43	298.501	111.864	772.639	112.699	461.262	1156.17	574.901	235.06	357.143	59.9185	117.613	1396.71	116.22	1866.63	753.667	995.767	185.565	1131.84	1246.47	186.463	0.0	1352.81	411.216	195.993
PWY-5130: 2-oxobutanoate degradation I	1279.52	2284.62	1452.82	5955.01	3833.58	2420.95	2804.03	2615.55	3428.12	1870.09	667.992	2342.29	4110.53	1773.07	3522.27	1354.03	1455.65	2679.89	1619.62	1663.33	1987.78	2377.87	3289.91	3159.99	3117.66	5953.22	1303.01	3854.22	1972.04
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	58.0631	163.726	63.0537	233.786	188.5	384.153	210.344	42.0827	20.6038	97.6835	2311.85	420.82	229.087	86.2692	185.661	0.0	148.746	58.6776	5935.45	3060.57	133.915	152.081	0.0	389.834	230.225	57.8116	130.44	104.02	159.438
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0.0	39.0422	0.0	37.5932	55.7108	197.899	0.0	0.0	0.0	0.0	1007.06	128.897	0.0	0.0	57.5427	0.0	49.2024	0.0	3607.51	1105.89	42.5396	0.0	0.0	89.3919	39.0695	0.0	0.0	22.8622	38.481
