sample	007_4640a	008_4655a	010_4671a	026_4858a	032_4883a	043_4947a	051_4967a	056_4978a	085_5110a	093_5162a	100_5150a	128_5318a	149_5373a	150_5340a	161_5469a	179_5504a	185_5554a	195_5610a	198_5605a	213_5692a	216_5714a	218_5723a	223_5732a	229_5764a	234_5779a	284_5789a	285_5792a	291_5865a	LA_RV_355_5908a_S22	LA_RV_373_5965a_S40
PWY-1622: formaldehyde assimilation I (serine pathway)	0.000103121	5.03036e-05	5.13374e-05	4.6072e-05	9.13195e-05	7.08204e-05	1.56856e-05	3.18953e-05	0.000114047	6.7169e-05	5.78104e-05	7.61165e-05	0.000102745	0.00011286	7.65105e-05	9.20367e-05	5.11287e-05	1.69493e-05	9.21068e-05	6.39733e-05	5.93548e-05	5.7521e-05	7.009e-05	0.000492655	5.2541e-05	4.5815e-05	2.77092e-05	3.63973e-05	4.05365e-05	7.87532e-05
PWY-181: photorespiration	0.000161733	0.000167791	0.000169707	0.000128718	0.000253443	0.000136866	3.53611e-05	5.10896e-05	0.000314547	0.000111967	0.000171986	0.000307935	0.00023664	0.000273269	0.000205592	0.000188938	8.02086e-05	0.000143827	0.000306731	0.000149754	0.000214252	0.000153642	0.000129829	0.000956868	0.000176455	0.000105191	0.000105956	0.000200803	0.000321324	0.000317419
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	0.00238107	0.000393763	0.00139202	0.00106745	0.000751584	0.000358535	6.76654e-05	0.000382895	0.00181361	0.000355923	0.00142282	0.000228113	0.000225003	0.000124028	0.000193193	0.000116374	0.00206612	0.000104439	0.000279375	0.000529324	0.000502926	4.50538e-05	0.00133414	0.000418296	0.000206244	0.000316208	0.000303109	0.000756739	0.000383163	0.00026951
PWY-2201: folate transformations I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000127275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	1.33572e-05	0.0	0.0	0.000107676	0.0	0.000168365	6.11955e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.58877e-05	0.0	4.17418e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.77542e-05	5.76753e-05	0.0	0.0	5.43969e-05
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.00184146	0.000529611	0.000855731	0.00121492	0.00086599	0.000722378	0.000408697	0.00034033	0.000408697	0.00131855	0.00138663	0.000934656	0.00142863	0.000561362	0.00185081	0.00419001	0.00119407	0.00104788	0.00181293	0.000638076	0.000860958	0.00142763	0.000625055	0.00107268	0.000640918	0.00159354	0.00162271	0.00151617	0.000415719	0.000380711
PWY-2941: L-lysine biosynthesis II	0.000538292	0.00236106	0.00224508	0.00241889	0.00233619	0.00102397	0.00173278	0.0022942	0.00147591	0.00154895	0.004528	0.00157178	0.00320855	0.00257642	0.00231548	0.000963459	0.00180303	0.00248485	0.00255018	0.00170926	0.00183178	0.0024457	0.00165408	0.00200878	0.00214413	0.00267264	0.00257442	0.00312957	0.00202927	0.00199619
PWY-2942: L-lysine biosynthesis III	0.00507919	0.00689276	0.00725771	0.00809722	0.00745215	0.00733282	0.00879251	0.00837647	0.00882963	0.00716533	0.0079022	0.00913004	0.00792323	0.00957345	0.00765071	0.00843564	0.00544078	0.00745814	0.0075474	0.0078822	0.00739294	0.00768141	0.00633618	0.00717773	0.00729799	0.0077133	0.00758564	0.00802533	0.0106179	0.00736164
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.00548639	0.00609402	0.00567447	0.00573871	0.00591111	0.00552063	0.00280506	0.00306698	0.00543087	0.0054178	0.00523909	0.0038032	0.00544199	0.00486579	0.00662563	0.00456324	0.00464287	0.00436298	0.00509634	0.00431399	0.00543237	0.00451954	0.00521923	0.00420457	0.0052873	0.00599562	0.00576929	0.00412687	0.00325485	0.00496642
PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62659e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.36005e-06	0.0	0.0	0.0	0.0
PWY-3781: aerobic respiration I (cytochrome c)	0.0	0.0	0.0	0.000398041	8.95845e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000122535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-3801: sucrose degradation II (sucrose synthase)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000214047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-3841: folate transformations II (plants)	0.00463047	0.00859929	0.00858027	0.00833898	0.00908114	0.00916721	0.00905322	0.00955913	0.0102469	0.00844149	0.00894844	0.00953678	0.00974696	0.0104149	0.00916188	0.0076581	0.00641651	0.00931289	0.00823627	0.00884891	0.00891514	0.00839797	0.00954257	0.00727902	0.00986454	0.00899321	0.00898032	0.0085321	0.0104522	0.00916047
PWY-4041: &gamma;-glutamyl cycle	0.00267586	0.00141359	0.00170261	0.00175926	0.000894436	0.00153049	0.000339772	0.00155754	0.000593131	0.00136284	0.00210052	0.00074659	0.00172477	0.000583277	0.00186399	0.00101399	0.0024891	0.00107414	0.00203686	0.000702367	0.00127027	0.00223705	0.00147744	0.00108985	0.00157984	0.00216814	0.0020022	0.00107703	0.000796019	0.000978506
PWY-4702: phytate degradation I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-4984: urea cycle	8.49531e-05	0.00027198	0.000174744	0.000549721	0.000369231	0.000583139	0.000593317	0.00119406	0.000145741	0.00041212	0.000222312	0.000386971	0.000489717	0.00022783	0.000458963	0.000164984	0.000176397	0.000732657	0.000764403	0.000836362	0.00106311	0.000257809	0.000913923	0.000425803	0.000371903	0.000551083	0.000613623	0.000733258	0.000772606	0.000572926
PWY-5004: superpathway of L-citrulline metabolism	0.000117158	0.0	6.13601e-05	0.000222769	0.000213833	4.09989e-05	4.13012e-05	0.000128973	3.50017e-05	0.000368643	0.0	0.0	9.43344e-05	0.0	0.0	8.47838e-05	0.000189918	0.000118794	0.000112078	7.65977e-05	0.000109347	9.95762e-05	0.000285527	0.000234762	2.87256e-06	6.83511e-05	0.000105061	0.0	0.0	0.000185362
PWY-5005: biotin biosynthesis II	0.000410698	7.48844e-05	0.000249997	0.000144567	0.000254313	8.05244e-05	0.000346189	8.79622e-05	0.000428898	0.000164174	0.000201487	0.000885253	0.000366359	0.000417306	0.000370174	0.00081425	0.000143114	0.00039224	0.000523633	0.000320995	0.000503698	0.000282111	0.000554684	0.000611955	0.000419917	0.000221094	0.000263271	0.000861865	0.000282313	0.000611657
PWY-5022: 4-aminobutanoate degradation V	0.00213621	0.00117295	0.00111553	0.000265762	0.000540952	0.000388806	0.000427566	0.000367778	0.00179905	0.00127406	0.000545229	0.00138852	0.00130863	0.000393558	0.00164813	0.00149397	0.00131575	0.00105599	0.0011564	0.000284031	0.00136863	0.00151813	0.00100872	0.00204673	0.000406703	0.0016814	0.00142725	0.00047272	0.000243143	0.00041234
PWY-5028: L-histidine degradation II	0.0	0.0	8.1349e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8143e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5030: L-histidine degradation III	8.55442e-05	0.00302102	0.00250916	0.00209574	0.00300217	0.00246741	0.00211731	0.00684434	0.000675135	0.00313027	0.00128553	0.000875932	0.00234208	0.000746669	0.00201229	0.000252871	0.00166157	0.00301376	0.00271028	0.00244812	0.00288507	0.00303782	0.00439628	0.000635123	0.003493	0.00367577	0.00374042	0.00320608	0.000704217	0.0025865
PWY-5044: purine nucleotides degradation I (plants)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5055: nicotinate degradation III	0.0	0.0	0.0	1.03624e-05	9.70483e-06	0.0	0.0	0.0	2.54893e-05	0.0	0.0	0.0	4.83175e-06	0.0	2.9852e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9222e-05
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5079: L-phenylalanine degradation III	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5080: very long chain fatty acid biosynthesis I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5083: NAD(P)/NADPH interconversion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5088: L-glutamate degradation VIII (to propanoate)	2.88699e-06	0.0	0.0	0.0	0.0	4.09953e-05	0.0	0.0	0.00010166	9.45517e-05	0.0	3.7407e-05	1.87847e-05	0.0	4.59388e-05	8.28502e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51161e-05	2.9859e-05	0.0	0.0	0.0	0.0	1.61326e-05
PWY-5097: L-lysine biosynthesis VI	0.00499336	0.00869066	0.00861972	0.00909114	0.00846025	0.00838607	0.00949677	0.00844992	0.00995221	0.00755751	0.00915673	0.00980731	0.00815679	0.0103386	0.00843441	0.0104962	0.00590936	0.00828642	0.00821698	0.0088152	0.00816748	0.00846385	0.00754535	0.00821025	0.00758365	0.0083609	0.00834008	0.00857587	0.0111551	0.00824622
PWY-5100: pyruvate fermentation to acetate and lactate II	0.003547	0.00500915	0.00536589	0.00506926	0.00584465	0.00633754	0.00591419	0.00169741	0.00767082	0.00444094	0.00546729	0.00688616	0.0047135	0.00744277	0.00491424	0.00826	0.00349074	0.00592387	0.00588935	0.00637046	0.00492866	0.00538738	0.00595001	0.00596275	0.00495442	0.004652	0.0048379	0.00617806	0.00708641	0.00562761
PWY-5101: L-isoleucine biosynthesis II	0.00010754	0.000148923	0.000416341	0.000210739	0.000401818	0.000186562	0.000771903	0.000286393	4.84063e-05	0.00023712	0.000593874	8.35437e-05	0.000237727	5.01395e-05	0.000257911	0.0	0.000307467	0.000172723	0.000176797	0.000144546	0.000217926	0.000209909	0.000274472	0.0	0.000184166	0.000533944	0.000491953	2.49465e-05	0.0	0.000243826
PWY-5103: L-isoleucine biosynthesis III	0.00703902	0.00964175	0.00855591	0.00978766	0.00847633	0.00781669	0.00705318	0.00430323	0.00794507	0.00744754	0.00916311	0.00622575	0.00790894	0.00690922	0.00833968	0.0074406	0.00667207	0.00699136	0.00764262	0.00701312	0.00825441	0.00841388	0.00649151	0.00601651	0.00670059	0.0082342	0.00798466	0.00615379	0.0058562	0.00727113
PWY-5104: L-isoleucine biosynthesis IV	0.000233049	0.0	3.59524e-06	1.70652e-05	9.19556e-06	0.0	0.0	0.000241408	0.0	0.000227467	3.09743e-05	0.0	8.96361e-05	5.09979e-05	0.0	0.000240376	3.4402e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00051456	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.00112108	0.000286175	0.000446988	0.000117354	0.000295597	0.000276076	0.000136449	0.000194797	0.00126428	0.000311353	0.000498773	0.000884149	0.000352445	0.000258809	0.000470709	7.00996e-05	0.000686404	0.000489479	0.000120548	0.000283659	0.000220658	0.00052676	0.000267584	0.000472049	0.00170218	0.000600173	0.000702697	0.00115431	0.000351346	0.000493146
PWY-5129: sphingolipid biosynthesis (plants)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5130: 2-oxobutanoate degradation I	0.00011431	0.00330438	0.00313684	0.00214232	0.00255686	0.00222816	0.0028145	0.00902655	0.000125047	0.00297656	0.00145898	0.000491924	0.00175563	0.000826359	0.00162727	0.000397667	0.0020124	0.00393461	0.00314891	0.00207114	0.00255094	0.00321015	0.0027614	0.00122114	0.00323895	0.00279763	0.00307711	0.00359591	0.00162368	0.00144653
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.00257839	0.00011527	0.000291311	0.000316385	6.97056e-05	0.000318028	8.09754e-05	0.000968091	5.32949e-05	0.000584393	0.00011663	8.49293e-05	0.000190565	4.47803e-05	0.000120917	0.000668931	0.00190988	4.08919e-05	8.64594e-05	6.21431e-05	5.772e-05	8.83513e-05	0.000639968	0.00104342	5.66739e-05	5.72269e-05	7.86928e-05	4.50122e-05	8.12283e-05	7.14569e-05
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0.0013431	0.0	0.0	5.8037e-05	0.0	0.0	0.0	0.000250011	0.0	0.000259001	0.0	0.0	3.60786e-05	1.86156e-05	0.0	0.000173195	0.000867307	0.0	0.0	0.0	0.0	0.0	0.000162165	0.00060506	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.00462793	0.00471194	0.00404186	0.00350645	0.00397008	0.00533885	0.00684792	0.00495967	0.00528487	0.00367457	0.00196676	0.00741862	0.00236885	0.00761105	0.00403945	0.00692526	0.00464418	0.00592283	0.00448006	0.00599116	0.00433025	0.00418003	0.00439441	0.0064022	0.00482917	0.00456606	0.00471873	0.00561197	0.00670199	0.00397779
PWY-5156: superpathway of fatty acid biosynthesis II (plant)	1.21596e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000404675	5.5543e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.00475177	0.00200426	0.00345492	0.00234256	0.00343749	0.00425147	0.00210317	0.00121409	0.00288168	0.00262857	0.00397204	0.00245258	0.00296141	0.00169012	0.00227923	0.00171894	0.00280048	0.00290988	0.00253959	0.00235333	0.00387725	0.00273493	0.00243597	0.00314336	0.00202688	0.00374238	0.00366908	0.0015902	0.00156904	0.00203762
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0.00205645	0.0	5.59232e-05	0.000127726	0.000206417	0.000349772	0.000191696	0.000226632	0.00115127	0.000343684	7.88451e-05	0.00141058	0.000168075	3.74361e-05	0.000801218	0.000268082	0.00114009	6.8805e-05	1.71184e-05	0.000860951	8.98975e-05	0.000109484	0.000252776	0.000479053	0.000931442	7.98131e-05	7.84428e-05	0.000159596	0.000332261	0.000263331
PWY-5196: factor 430 biosynthesis	0.0	0.0	2.61948e-05	0.0	0.0	3.8268e-05	0.0	0.0	0.000406294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37752e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07407e-05
PWY-5198: factor 420 biosynthesis II (mycobacteria)	0.0	0.0	2.47201e-05	0.0	0.0	1.71628e-05	0.0	0.0	0.000332622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.34783e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45642e-05
PWY-5209: methyl-coenzyme M oxidation to CO2	0.0	0.0	2.35328e-05	0.0	0.0	2.7427e-05	0.0	0.0	0.000336537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.02008e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12016e-05
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0.000281546	0.000329404	0.00038197	0.000339517	0.00113971	0.00133397	0.000467559	0.000891268	0.00280174	0.00211041	0.000686619	0.00146667	0.00154732	0.00220287	0.00142393	5.47484e-05	0.0003955	0.0013568	0.000156433	0.000381219	0.000468747	8.48183e-05	0.00211053	4.35237e-05	0.0017355	0.000371902	0.000254011	0.0	0.000194615	0.0011239
PWY-5306: superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.00354004	0.00145044	0.00110332	0.00171567	0.00185375	0.00202996	0.00073523	0.00169101	0.00282337	0.00291362	0.00148543	0.00427507	0.00238201	0.000977794	0.00220852	0.00226615	0.00322157	0.00256922	0.00141207	0.00233551	0.00173219	0.00122785	0.00297386	0.00242815	0.00242343	0.00274391	0.002601	0.00239883	0.00369574	0.00267878
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0.0045887	0.00303961	0.00273012	0.00440745	0.00265761	0.00365727	0.0016674	0.00191304	0.00304939	0.00283735	0.00432433	0.0023364	0.00328319	0.00182356	0.00378857	0.00493134	0.00369833	0.00239798	0.00375425	0.00242126	0.00241887	0.00422141	0.00233713	0.00321852	0.00210843	0.00291894	0.00271722	0.00294053	0.00195717	0.0024899
PWY-5367: petroselinate biosynthesis	0.000875604	0.000114899	0.000216049	0.000305864	0.000167742	0.000672781	0.000325141	0.000187178	0.000409286	0.00021616	0.000121911	0.000742549	9.96136e-05	9.26367e-05	0.000421724	0.000102345	0.000444847	0.000164174	0.000212815	0.000808609	0.000194448	5.93538e-05	0.000180271	0.00037756	0.000105183	0.000119171	0.000109379	0.000221913	0.000442374	0.000333064
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.00365018	0.00319477	0.0027549	0.0030761	0.00233782	0.00199113	0.00200694	0.00259511	0.00201547	0.00255399	0.00338651	0.00212225	0.00202539	0.00155427	0.00321793	0.00513316	0.00320684	0.00216196	0.00363438	0.00290487	0.00371468	0.00341796	0.00225052	0.00214262	0.00178998	0.00228083	0.00214178	0.00314594	0.00232984	0.00206242
PWY-5392: reductive TCA cycle II	2.76663e-05	0.000218479	0.000359496	0.000284252	0.000417261	0.000144332	0.000101649	0.000142552	0.00036628	0.000477517	0.000230512	0.000115718	0.000465199	0.000196676	0.000105277	2.87681e-05	0.000286686	9.27703e-05	3.57595e-05	0.000240308	8.16437e-05	0.000114933	0.00010815	9.35055e-05	0.000354974	0.000359926	0.00036828	7.3049e-05	8.56755e-05	0.000436093
PWY-5415: catechol degradation I (meta-cleavage pathway)	0.0	0.0	0.0	0.0	1.13001e-06	0.0	0.0	1.61916e-05	0.0	4.34288e-05	2.83803e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5417: catechol degradation III (ortho-cleavage pathway)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61574e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88155e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5419: catechol degradation to 2-hydroxypentadienoate II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97904e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5420: catechol degradation II (meta-cleavage pathway)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1924e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61574e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88155e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	0.00110846	0.00014787	0.000255124	0.000259574	0.000190428	4.47259e-05	5.81771e-05	0.000166502	0.000161394	0.000329598	0.000500112	0.000131019	0.000394882	7.39038e-05	0.000121397	0.000319679	0.00116818	0.0	0.0	6.41868e-05	0.000103938	0.000160306	0.000229362	0.000251385	0.000294425	0.000119284	0.000124583	0.000167512	0.000162547	0.000259033
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.00514244	0.00766786	0.00771401	0.00772684	0.00749445	0.00602369	0.00691724	0.0106814	0.00331529	0.00786995	0.00810847	0.00488507	0.00712326	0.00469743	0.00783371	0.00719132	0.00636777	0.00882012	0.00823805	0.0073891	0.00784621	0.00894215	0.00820852	0.00444151	0.0076379	0.00805398	0.00846043	0.00927146	0.00539819	0.00640198
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway)	6.02812e-05	0.000143431	4.75261e-05	5.51484e-05	6.84859e-05	3.57221e-05	0.000120918	5.84765e-05	0.000144082	6.29237e-05	0.000145769	2.6383e-05	0.000106648	8.42925e-05	5.80075e-05	1.12024e-05	1.6758e-05	4.00667e-05	4.27822e-05	3.40702e-05	0.000102522	6.70456e-05	0.000271674	7.00064e-06	5.34398e-05	2.68664e-05	2.67231e-05	0.000242801	0.00010933	5.06017e-05
PWY-5497: purine nucleobases degradation II (anaerobic)	0.00150329	0.0001588	0.000127061	0.000403451	0.000688791	0.000257356	0.000172887	0.000300577	0.000167752	0.000585108	0.000422327	5.73509e-05	0.000886002	0.00048473	0.000268915	0.000189988	0.000877384	0.000293044	0.000451261	0.000404149	0.000340975	0.000206034	0.000631536	0.000494565	0.000371273	0.000414398	0.000395932	0.000294955	0.000283483	0.000554255
PWY-5505: L-glutamate and L-glutamine biosynthesis	0.000280615	0.000693893	0.000726438	0.000597734	0.000748048	0.000803123	0.000611726	0.000700141	0.000586769	0.000690991	0.000795721	0.000713042	0.000949314	0.000456844	0.00088906	0.000298531	0.000446581	0.000532428	0.00056974	0.000919431	0.000876625	0.00040687	0.00103652	0.000636107	0.000547467	0.000539659	0.000564178	0.000580208	0.000382371	0.000891253
PWY-5507: adenosylcobalamin biosynthesis I (anaerobic)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	2.09799e-05	2.89431e-05	5.39358e-05	2.71504e-05	0.000117056	6.89954e-05	1.63913e-05	7.28451e-05	0.000106565	0.0	0.000107916	3.74547e-05	0.00014221	1.79664e-05	7.70027e-05	1.27084e-05	0.0	1.68765e-05	0.0	1.67051e-05	7.34874e-05	1.44142e-05	3.83089e-05	0.0	0.000132912	5.66618e-05	4.47838e-05	4.21679e-05	3.7874e-05	5.43776e-05
PWY-5531: 3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)	3.74295e-05	8.68496e-05	0.000139067	6.64448e-05	0.000101517	4.60917e-05	4.76916e-05	5.59235e-05	3.48663e-05	0.000207604	6.29418e-05	3.8468e-05	0.000123628	3.43417e-05	7.68151e-05	4.28805e-05	8.38506e-05	6.02117e-05	4.55397e-05	7.02511e-05	0.000150096	0.000119329	0.000158642	0.000119508	0.000126995	2.89111e-05	5.44328e-05	7.59254e-05	5.42767e-05	9.19103e-05
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0.0028221	0.0	0.0	0.00010109	0.0	0.0	0.0	0.000611888	0.0	0.000644779	0.0	0.0	8.96285e-05	0.0	0.0	0.000598731	0.00173096	0.0	0.0	0.0	0.0	0.0	0.000502873	0.000900192	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29682e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5656: mannosylglycerate biosynthesis I	0.00135227	0.0	4.35823e-07	0.0	0.0	0.0	0.0	0.000176974	4.69555e-05	0.000257749	0.0	7.71831e-06	6.18199e-05	0.0	6.30489e-06	0.000142124	0.000855829	0.0	0.0	0.0	1.54593e-05	2.69995e-05	0.000170178	0.000238752	2.31799e-06	0.0	0.0	0.0	0.0	0.0
PWY-5659: GDP-mannose biosynthesis	0.00343597	0.00431279	0.00372364	0.00331658	0.00393142	0.00384816	0.0090538	0.00613195	0.00486381	0.00352882	0.00526221	0.00854841	0.00406524	0.00886917	0.003434	0.00871385	0.00348595	0.00446822	0.00376955	0.00500299	0.00380288	0.00407406	0.00410891	0.00761866	0.00568384	0.00388686	0.00374732	0.00836657	0.0102267	0.00442712
PWY-5667: CDP-diacylglycerol biosynthesis I	0.00665051	0.00865888	0.00841717	0.00749215	0.0084777	0.00778455	0.00991602	0.00528571	0.00931603	0.00831193	0.00630276	0.00787833	0.00849774	0.00858763	0.00810987	0.00702806	0.00700161	0.00750986	0.00785806	0.00884966	0.00888888	0.00723231	0.0092909	0.00816541	0.00838317	0.00793902	0.00782416	0.00803973	0.010038	0.00934376
PWY-5675: nitrate reduction V (assimilatory)	0.00262488	1.77728e-05	3.78952e-05	0.000146072	0.000144181	6.22515e-05	1.8284e-05	0.000537255	8.74476e-05	0.000651721	9.52961e-05	3.37575e-05	0.00020756	9.71588e-05	7.87568e-05	0.000471756	0.00199914	5.42172e-05	9.26487e-05	0.000100592	7.62691e-05	1.10522e-05	0.000332877	0.000841552	0.000103868	3.37741e-05	4.04544e-05	4.10582e-05	3.93531e-05	0.000142288
